Type;SNR (dB);All Noises [-5,10] dB - %80;All Noises [-5,10] dB - %100 ;All Noises [0,15] dB - %80 ;Babble Noise [-5,10] dB - %80;Mixed Noise [-5,10] dB - %80;VacuumCleaner Noise [-5,10] dB - %80;Without Additional Noise;Latest KWS WhiteNoise Application;Trained_Without_WhiteNoise;Trained_With_WhiteNoise;Trained with all noise + white noise;[5,30] SNR - Updated KWS;[-5,30] SNR - Updated KWS;[5,30] SNR - Final KWS;[-5,30] SNR - Final KWS;[-5,10] SNR - Final KWS;[-5,20] SNR - Final KWS
AirportAnnouncements;0,0;79,74925047696921;79,25865358408286;78,11392750068138;80,81221041155628;81,30280730444262;70,97301717089125;57,50885799945489;80,26710275279368;59,71654401744344;57,53611338239302;79,3949304987735;80,13630168105406;79,20036347114947;79,42753293957293;79,77283053157656;77,21035892776011;79,77283053157656
AirportAnnouncements;5,0;87,76233306077951;87,08094848732625;86,75388389206869;87,98037612428455;88,8252929953666;83,91932406650314;76,778413736713;88,41646225129463;78,08667211774325;76,53311529026982;88,1166530389752;87,8691503861881;86,51522035438437;87,10586097228531;87,93275783734667;85,37937301226715;87,37846433439346
AirportAnnouncements;10,0;91,06023439629328;90,21531752521122;91,38729899155084;90,62414826928318;91,74161896974653;89,04333605887163;85,66366857454348;91,9869174161897;87,32624693376943;86,83565004088307;90,59689288634505;91,14039073148568;90,19536574284416;90,84961381190368;90,62244434348024;89,47751022262608;90,90413448432531
AirportAnnouncements;15,0;92,77732352139547;91,5508312891796;92,64104660670482;92,28672662850911;92,31398201144728;91,82338511856092;90,5423821204688;92,66830198964296;91,632597437994;90,84219133278822;92,55928045789044;92,994093593821;91,68559745570197;92,22171740118128;92,14902317128578;91,05860972285323;92,27623807360291
AirportAnnouncements;20,0;93,513218860725;92,45025892613792;93,29517579721995;92,69555737258108;93,10438811665304;92,259471245571;92,77732352139547;93,54047424366313;92,94085581902426;92,50476969201418;93,1588988825293;93,36665152203544;92,64879600181736;92,91231258518854;92,92139936392547;91,67651067696502;92,96683325761018
AirportAnnouncements;25,0;93,26792041428182;92,83183428727172;93,73126192423004;92,85908967020988;92,77732352139547;92,7228127555192;93,32243118015808;93,7040065412919;93,3496865630962;92,99536658490052;93,45870809484872;93,575647432985;92,62153566560654;93,20308950477056;93,19400272603362;92,07632894139029;93,15765561108587
AirportAnnouncements;30,0;93,45870809484872;92,83183428727172;93,89479422185882;93,02262196783865;93,21340964840556;92,75006813845734;93,62224039247752;93,89479422185882;93,7040065412919;93,5949850095394;93,40419732897249;93,70286233530214;92,93048614266245;93,23034984098138;93,38482507950933;92,29441163107678;93,22126306224443
Babble;-5,0;56,00981193785772;57,97219950940311;52,57563368765331;60,37067320795857;60,3979285908967;41,56445898064868;28,590896702098668;57,39983646770237;28,073044426274187;27,60970291632597;55,87353502316708;57,28305315765561;57,101317582916856;57,25579282144479;57,14675147660154;55,33848250795093;57,39209450249887
Babble;0,0;75,98800763150723;76,17879531207413;74,37994003815753;79,83101662578359;79,4766966475879;64,15917143635868;50,01362769146907;76,83292450258926;53,77487053693104;51,049332243118016;76,04251839738349;76,51976374375285;75,74738755111314;75,86551567469331;76,62880508859608;74,02089959109496;76,28350749659246
Babble;5,0;85,30934859634777;85,6909239574816;85,58190242572908;87,70782229490325;87,43526846552194;80,3761242845462;71,16380485145817;86,45407467974925;73,8075769964568;73,12619242300354;85,79994548923413;86,59700136301682;85,10676965015902;85,61562925942754;86,10631531122218;84,24352567014994;85,67923671058611
Babble;10,0;90,21531752521122;89,69746524938675;90,32433905696377;90,29708367402564;91,22376669392204;89,12510220768601;84,70973017170891;90,78768056691196;86,15426546742981;84,6007086399564;90,32433905696377;90,43162199000454;89,50477055883688;90,51340299863698;90,37710131758293;88,55974557019537;90,22262607905498
Babble;15,0;92,36849277732352;91,57808667211776;92,31398201144728;91,93240665031344;92,09593894794222;91,3600436086127;90,02452984464432;92,77732352139547;90,4606159716544;90,13355137639684;92,31398201144728;92,29441163107678;91,5038618809632;92,03089504770558;91,93094048159928;90,5406633348478;92,03998182644253
Babble;20,0;93,18615426546744;92,28672662850911;93,45870809484872;92,83183428727172;92,69555737258108;92,28672662850911;92,39574816026165;93,73126192423004;92,66830198964296;92,259471245571;93,10438811665304;93,36665152203544;92,44888686960472;92,66696955929125;92,76692412539754;91,5765561108587;92,85779191276693
Babble;25,0;93,1588988825293;92,45025892613792;93,64949577541564;92,83183428727172;93,48596347778684;92,75006813845734;93,13164349959116;93,86753883892068;93,3496865630962;93,18615426546744;93,29517579721995;93,58473421172194;92,7578373466606;93,03044070876874;93,0940481599273;91,74011812812358;93,15765561108587
Babble;30,0;93,18615426546744;92,6137912237667;93,7857726901063;93,02262196783865;93,2406650313437;92,83183428727172;93,54047424366313;93,67675115835378;93,84028345598256;93,513218860725;93,5949850095394;93,65742844161744;92,81235801908224;93,2121762835075;93,43934575193092;92,16719672875966;93,25761017719219
CopyMachine;-5,0;65,22213137094577;65,03134369037885;60,15263014445353;55,24666121559007;68,46552194058326;54,15644589806488;33,333333333333336;66,3396020714091;32,57018261106569;34,2055055873535;63,91387298991551;66,65152203543843;65,86097228532486;63,89822807814629;66,43343934575194;66,73330304407088;66,62426169922762
CopyMachine;0,0;81,03025347506131;80,5669119651131;79,77650585990733;75,30662305805397;82,31125647315345;76,34232760970292;59,25320250749523;80,94848732624693;53,25701826110657;58,59907331698011;78,98609975470156;81,80826896865061;80,09086778736938;79,45479327578373;80,79054975011358;80,88141753748297;81,62653339391186
CopyMachine;5,0;87,92586535840829;87,38075769964568;86,91741618969746;86,18152085036795;88,96156991005724;85,85445625511039;77,45979831016626;88,71627146361406;73,58953393295175;78,08667211774325;87,24448078495503;88,17810086324398;87,08768741481146;87,19672875965469;87,4875056792367;87,46933212176283;88,10540663334848
CopyMachine;10,0;91,49632052330335;90,9239574816026;91,22376669392204;90,40610520577816;91,65985282093212;89,9155083128918;86,89016080675933;92,01417279912782;84,21913327882257;87,29899155083129;90,26982829108748;91,36756019990914;90,43162199000454;90,4952294411631;90,86778736937757;90,10449795547478;91,18582462517037
CopyMachine;15,0;92,9681112019624;91,95966203325156;92,39574816026165;91,65985282093212;92,58653584082856;91,74161896974653;90,4606159716544;93,2406650313437;90,05178522758244;91,11474516216953;92,39574816026165;92,65788278055427;91,75829168559746;92,30349840981371;91,92185370286234;91,58564288959565;92,63062244434349
